A & M Institute Of Mgt. & Tech ,,Punjab   
D.A.N. College Of Education For Women,,Punjab  
D.A.V. (Pg) College,,Uttar Pradesh  
D.A.V. College,, Orissa  
D.A.V. College,, Punjab  
D.A.V. College, Muzaffarnagar  , Uttar Pradesh  
D.A.V. College,,Orissa  
D.A.V. College Of Education Vpo,,Haryana  
D.D. Institute Of Advance Studies,, Uttaranchal  
D.D. Kotiwala Munivipal Law College, Porbandar  , Gujarat  
D.D. Mahila Mahavidyalaya,, Uttar Pradesh  
D.D. Shinde Sarkar College,, Maharashtra  
D.D.R. Bed College,, Andhra Pradesh  
D.D.Trivedi Med Colleage,, Gujarat  
D.E.S. Law College, Pune  , Maharashtra  
D.E.V. College,, Uttar Pradesh  
D.Ed College,, Karnataka  
D.Ed College,, Maharashtra  
D.G. Government Arts College For Women, Mayiladuthurai  , Tamil Nadu  
D.G. Ruparel College Of Arts Science & Commerce,, Maharashtra  
D.G. Vaishnav College, Chennai  , Tamil Nadu  
D.G.B. Dayanand Evening Law College, Sholapur  , Maharashtra  
D.G.M. College Of Education,, Haryana  
D.G.M.P. D.Ed College,, Karnataka  
D.G.Melmalagi Ayurved Medical College,, Karnataka  
D.H.M. Teacher Training Institute,, Kerala  
D.H.S.K. Law College, Dibrugarh  , Assam  
D.I.E.T. Balangir,, Orissa  
D.I.E.T. Cuttack,, Orissa  
D.I.E.T. Dhenkanal,, Orissa  
D.I.E.T. Jajpur,, Orissa  
D.I.E.T. Jaypore,, Orissa  
D.I.E.T. Kalahandi,, Orissa  
D.I.E.T. Keonjhar,, Orissa  
D.I.E.T. Khalikote,, Orissa  
D.I.E.T. Khurda,, Orissa  
D.I.E.T. Mayurbhanj Baripada,, Orissa  
D.I.E.T. Mokokchung,, Nagaland  
D.I.E.T. Remuna Balasore,, Orissa  
D.I.E.T. Sambalpur,, Orissa  
D.I.E.T. Tikabali,, Orissa  
D.I.E.T. Tuensang,, Nagaland  
D.J. Academy For Managerical Excellence, Coimbatore  , Tamil Nadu  
D.J. College,, Uttar Pradesh  
D.J. College Of Dental Science & Research,, Uttar Pradesh  
D.K. Shivakumar Teachers Training Institute,, Karnataka  
D.K.R. College Of Education,, Tamil Nadu  
D.K.R. Teacher Training Institute,, Tamil Nadu  
D.K.T. Teacher Training Institute For Women,, Tamil Nadu  
D.M College Of Teacher Education,, Manipur  
D.M. And R Teacher Training Institute,, Tamil Nadu  
D.M. College Of Arts,, Manipur  
D.M. College Of Commerce,, Manipur  
D.M. College Of Education,, Punjab  
D.M. College Of Science,, Manipur  
D.M. College Of Teacher Education Imphal,, Manipur  
D.M.College Of Education,, Punjab  
D.M.I. Institute Of Teachers Training Institute,, Tamil Nadu  
D.M.S. Mandals D Ed College,, Karnataka  
D.N. College,, Uttar Pradesh  
D.N. Jain College,, Madhya Pradesh  
D.N. Postgraduate College,, Uttar Pradesh  
D.N.M. D.Ed College Vidyavardhini Education,, Maharashtra  
D.N.R. College, Bhimavaram  , Andhra Pradesh  
D.N.R. College If Law, Bhimavaram  , Andhra Pradesh  
D.N.R. College Of Education,, Andhra Pradesh  
D.N.R. College Of Elementry Education,, Andhra Pradesh  
D.N.R. Government Degree College For Women, Palakol  , Andhra Pradesh  
D.N.S. College Of Engg. & Tech,, Uttar Pradesh  
D.P. Institute Of Advanced Studies In Education,, Orissa  
D.P. Vipra P G College,, Chhattisgarh  
D.P.B. Dayanand College Of Education,, Maharashtra  
D.P.Bhosale College,, Maharashtra  
D.P.C. Polytechnic College, Perambalur  , Tamil Nadu  
D.P.I.A.S.E.,, Orissa  
D.P.M. Institute Of Education,, Uttar Pradesh  
D.P.S. College Of Education,, Haryana  
D.P.S. College Of Education,, Madhya Pradesh  
D.R. Mahila Shikshak Prashikshan Mahavidyalaya,, Rajasthan  
D.R.M. College,, Rajasthan  
D.R.S. Bed College,, Madhya Pradesh  
D.R.S. College, Khammam  , Andhra Pradesh  
D.R.V.D.A.V. Centenary College,, Punjab  
"D.R.W. College, Gudur", Gudur  , Andhra Pradesh  
D.S. Arya College Of Eduation,, Haryana  
D.S. College, Aligarh  , Uttar Pradesh  
D.S. Memorial College Of Education,, Madhya Pradesh  
D.S.C. Teachers Training College,, Rajasthan  
D.S.G. Teacher Training Institute,, Tamil Nadu  
D.S.M. College,, Maharashtra  
D.S.M. Degree College,, Uttar Pradesh  
D.S.N. College,, Uttar Pradesh  
D.S.N. Degree (Pg) College,, Uttar Pradesh  
D.S.R. Hindu College Of Law, Machilipatnam  , Andhra Pradesh  
D.V. Degree Colege,, Uttar Pradesh  
D.V. Gundappa Teachers Training Institute,, Karnataka  
D.V.C. College Of Education,, Tamil Nadu  
D.V.C. Teachers Training Institute,, Tamil Nadu  
D.V.D. Teacher Training Institute,, Tamil Nadu  
D.V.M. College Of Education, Nalgonda  , Andhra Pradesh  
D.V.M. Degree College, Hyderabad  , Andhra Pradesh  
D.V.R. College Of Engineering And Technology, Mandal  , Andhra Pradesh  
Dada Dukhayal College Of Education,, Gujarat  
Dada Khalandaria College Of Education,, Andhra Pradesh  
Dada Patil Mahavidyalaya,, Maharashtra  
Dada Patil Rajale Arts And Science College,, Maharashtra  
Dadasaheb Divekar College Of Education,, Maharashtra  
Dadasaheb Ramesh Singh Rajput College Of Phy Edu,, Maharashtra  
Dadhimathi Mahila Shikshak P Mahavidyalaya,, Rajasthan  
Dadhimati Teachers Training College,, Rajasthan  
Dadi Institute Of Engineering And Technology, Visakhapatnam  , Andhra Pradesh  
Dadi Satyanaraya College Of Education,, Andhra Pradesh  
Dadi Veera Naidu College, Anakapalle  , Andhra Pradesh  
Daffodils Teachers Training Institute,, Karnataka  
Daggubatichanchuramayye Memorial Degree College, Prakasam  , Andhra Pradesh  
Dahiwadi College,, Maharashtra  
Dahod Anaj Mahajan Sarvajanaik Education Society,, Gujarat  
Dahya Bhai Patel College Of Phy Edn,, Maharashtra  
Daita Madhusudhana Sastry Sri Venkateswara Hindu College Of Engineering, Machilipatnam  , Andhra Pradesh  
Dakshin Bharat Hindi Pracharak Training College,, Andhra Pradesh  
Dakshin Kamrup College, Kamrup  , Assam  
Dakshin Kamrup Girls' College, Kamrup  , Assam  
Dalgoma Anchalik College, Goalpara  , Assam  
Dalitha Mahasabha Davangere,, Karnataka  
Dalitmitra V T Nagpur D Ed College,, Maharashtra  
Dalmia College,, Orissa  
Dalvoy D Ed College,, Karnataka  
Damdei Christian College,, Manipur  
Damyantitai Deshmukh Bed College,, Maharashtra  
Danie Inbam Teacher Training Institute,, Tamil Nadu  
Danie Teacher Training Institute,, Tamil Nadu  
Danielson Degree College,, Madhya Pradesh  
Darbar Gopaldas Shikshan Mahavidyalaya,, Gujarat  
Darbari Lal Foundation College,, Uttar Pradesh  
Darbhanga Medical College, Darbhanga  , Bihar  
Daripally Anantha Ramulu College Of Engineering & Technology, Khammam  , Andhra Pradesh  
Darjeeling Government College,, West Bengal  
Darrong College, Tezpur  , Assam  
Darsh College Of Education,, Haryana  
Darshan Singh Smriti Mahavidyala,, Uttar Pradesh  
Darul Huda Teacher Training Institute,, Kerala  
Darul Uloum Teachers Training Institute,, Kerala  
Darunnajath Arabic College,, Kerala  
Darusalam College Of Law, Hyderabad  , Andhra Pradesh  
Dasarth Dev Memorial College Khowai Government College,, Tripura  
Daskhin Guwahati B Ed College,, Assam  
Dasmesh Girls College Of Education,, Punjab  
Dasmesh Khalsa College,, Punjab  
Dattaaguru Sai Maa Shikshan Shastra Mahavidyalaya,, Maharashtra  
Dattaji Rao Kadam Artscommerce & Science College,, Maharashtra  
Dattajirao Kadam Tech.Ed.Soc'S Textile &. Engineering Institute, Kolhapur  , Maharashtra  
Dattatray Govind Rao Walse Patil Med College,, Maharashtra  
Dattatreya Teacher Training Institute,, Karnataka  
Dau Dayal Mahila (P G ) College,, Uttar Pradesh  
Daudnagar College,, Bihar  
Daulat Ram College, Delhi  , Delhi  
Daulatbhai Trivedi Law College, Ahmedabad  , Gujarat  
Dav College,, Uttar Pradesh  
Dav College For Girls,, Punjab  
Dav College Of Education,, Punjab  
Dav Institute Of Engineering & Technology,, Haryana  
Dav Institute Of Engineering & Technology, Jalandhar  , Punjab  
Dav Shiksha Avam Bahuudeshiya Mahavidyalaya,, Madhya Pradesh  
David Hare Training (Iase) College Calcutta,, West Bengal  
David Memorial College Of Education For Women,, Andhra Pradesh  
David Memorial Degree & Pg College, Secunderabad  , Andhra Pradesh  
David Memorial Institute Of Mgt, Secunderabad  , Andhra Pradesh  
David Memorial Teacher Training Institute,, Andhra Pradesh  
Davidraja Teacher Training Institute,, Tamil Nadu  
Dawarka Dass Memorial Sai College Of Edn,, Himachal Pradesh  
Daxina Murti Bal Adhyapan Mandir,, Gujarat  
Daya Nand College,, Haryana  
Daya Teacher Training Institute,, Kerala  
Dayal Singh College,, Haryana  
Dayalbagh Education Institute (Deemed University),, Uttar Pradesh  
Dayalbagh Educational Institute, Agra  , Uttar Pradesh  
Dayan Prasark Mandals College Arts,, Goa  
Dayanad Brijendra Swarup P G College,, Uttar Pradesh  
Dayananad Bachhrawan Degree College,, Uttar Pradesh  
Dayanand Academy Of Management Studies, Kanpur  , Uttar Pradesh  
Dayanand Amarnath College Of Education,, Punjab  
Dayanand Anglo Vedic (Pg) College,, Uttar Pradesh  
Dayanand Arya Kanya Degree College,, Uttar Pradesh  
Dayanand Arya Kanya Mahavidyalaya,, Maharashtra  
Dayanand Ayurvedic College,, Punjab  
Dayanand Bachhrawan Degree College,, Uttar Pradesh  
Dayanand College,, Rajasthan  
Dayanand College Of Arts,, Maharashtra  
Dayanand College Of Commerce,, Maharashtra  
Dayanand College Of Law, Kanpur  , Uttar Pradesh  
Dayanand Girls (Pg) College,, Uttar Pradesh  
Dayanand Girls College,, Uttar Pradesh  
Dayanand Mahila Mahavidyalaya,, Haryana  
Dayanand Mathradas College,, Punjab  
Dayanand Medical College & Hospital, Ludhiana  , Punjab  
Dayanand Public School,, Haryana  
Dayanand Sagar College Of Law, Bangalore  , Karnataka  
Dayanand Science College,, Maharashtra  
Dayanand Vaidik Post Graduate College,, Uttar Pradesh  
Dayanand Women Training College Deptt Of Edu,, Uttar Pradesh  
Dayanand Womens Training College,, Uttar Pradesh  
Dayanand Womens Training College,, Uttaranchal  
Dayananda Sagar Business School, Bangalore  , Karnataka  
Dayananda Sagar College Of Education,, Karnataka  
Dayananda Sagar College Of Engineering, Bangalore  , Karnataka  
"Dayanandasagar College Of Sc., Arts, Commerce", Bangalore  , Karnataka  
Dayapuram Arts & Science College For Women, Kozhikode  , Kerala  
Dayawanti Memorical College Of Education,, Haryana  
Dayawanti Punj Training Institute,, Uttar Pradesh  
Daynand Law College, Latur  , Maharashtra  
Db K Jankalyan Shikshan Sanstha,, Maharashtra  
Dbhps Acharya Vinoba Bhave Shiksha Snatak College,, Karnataka  
Dbhps B Ed College,, Kerala  
Dbhps Basaveswara Shiksha Snatak College,, Karnataka  
Dbhps College & Pracharak Vidyalaya,, Andhra Pradesh  
Dbhps Dr B D Jatti College Of Education,, Karnataka  
Dbhps Dr B D Jatti Shiksha Snatak College,, Karnataka  
Dbhps Hindi Pracharak Prashikshan Mahavidyalaya,, Andhra Pradesh  
Dbhps Hindi Pracharak Training College,, Andhra Pradesh  
Dbhps Hindi Pracharak Training College,, Tamil Nadu  
Dbhps Indira Gandhi Shiksha Snatak College,, Karnataka  
Dbhps Lalbahadur Shastri B Ed College,, Karnataka  
Dbhps M S Bharathi Hindi Shikshak Trng College,, Tamil Nadu  
Dbhps Mahatma Gandhi Shiksha Snatak College,, Karnataka  
Dbhps Mahaveer Shiksha Snatak College,, Karnataka  
Dbhps Rajiv Gandhi B Ed College,, Karnataka  
Dbhps S Nijalingappa Shiksha Snatak College,, Karnataka  
Dbhps Sardar Vallabhai Patel B Ed College,, Karnataka  
Dbhps Training College,, Andhra Pradesh  
Dcs College Of Education,, Haryana  
De Paul Institute Os Science & Technology, Kochi  , Kerala  
Deben Mahato Teachers Training Institute,, West Bengal  
Deccan College Of Education,, Andhra Pradesh  
Deccan College Of Education,, Karnataka  
Deccan College Of Education For Women,, Karnataka  
Deccan College Of Engineering And Technology, Hyderabad  , Andhra Pradesh  
"Deccan College Of Medical Science, Hyderabad", Hyderabad  , Andhra Pradesh  
Deccan College Post Graduate And Research Institute,, Maharashtra  
Deccan Ded College,, Karnataka  
"Deccan Education Society, Pune"" , The Navinchandra Mehta Institute Of Technology And Development", Mumbai  , Maharashtra  
Deccan M Ed College,, Karnataka  
Deccan School Of Mgt, Hyderabad  , Andhra Pradesh  
Deccan Teacher Training Institute,, Karnataka  
Deeksha Degree College, Nirmal  , Andhra Pradesh  
Deen Dayal College,, Uttar Pradesh  
Deen Dayal College Of Law, Muzaffarnagar  , Uttar Pradesh  
Deen Dayal College Of Management,, Uttar Pradesh  
Deen Dayal Engineering College, Tiruvallur  , Tamil Nadu  
Deen Dayal Mahesh College For Education,, Himachal Pradesh  
Deen Dayal Rustagi College Of Education,, Haryana  
Deen Dayal Upadhayay Government Degree College,, Uttar Pradesh  
Deen Dayal Upadhyay B Ed College,, Uttar Pradesh  
Deen Dayal Upadhyay Gorakhpur University, Gorakhpur  , Uttar Pradesh  
Deen Dayal Upadhyaya College, Delhi  , Delhi  
Deen Dayal Upadhyaya Government Degree College,, Uttar Pradesh  
Deep International College For Education,, Rajasthan  
Deep International Educationnsociety,, Rajasthan  
Deep International Tt School,, Rajasthan  
Deep Narayan Singh College,, Bihar  
Deep Paramedical Orgnaisation,, Maharashtra  
Deepanshu Law College, Saharanpur  , Uttar Pradesh  
Deepanshu Womens Degree College,, Uttar Pradesh  
Deepshikha College Of Technical Education, Jaipur  , Rajasthan  
Deepshikha Institute Of Management Studies, Jaipur  , Rajasthan  
Deepshiksha Teachers Training College,, Rajasthan  
Deepthi Degree College, East Godavari  , Andhra Pradesh  
Deesa Nagarpanchayat Arts And Commerce College,, Gujarat  
Deevan Bahadur Padma Rao Mudaliar Womens College, Secunderabad  , Andhra Pradesh  
Defence College Of Education,, Haryana  
Defence Services Staff College, Nilgiris  , Tamil Nadu  
Degloor College,, Maharashtra  
Degree College,, Madhya Pradesh  
Degree College,, Uttar Pradesh  
Degree College,, Uttar Pradesh  
Degree College Of Physical Education,, Gujarat  
Degree College Of Physical Education & Recreation,, Maharashtra  
Degree College Pure Buddhidhar,, Uttar Pradesh  
Dehat Vikas Institute Of Education And Technolgoy,, Haryana  
Dehradun Institute Of Technology, Dehradun  , Uttaranchal  
Dekha Devi Rasiwasia College,, Assam  
Delhi College Of Arts & Commerce, Delhi  , Delhi  
Delhi College Of Engineering, Delhi  , Delhi  
Delhi College Of Studies,, Uttar Pradesh  
Delhi Institute Of Advanced Studies,, Delhi  
Delhi Institute Of Management And Technology,, Uttar Pradesh  
Delhi Institute Of Management Technology, Gannaur  , Haryana  
Delhi Institute Of Tool Engineering, Delhi  , Delhi  
Delhi Kannada Education Society'S Institute, Delhi  , Delhi  
Delhi Nursery Teacher Training Institute,, Delhi  
Delhi Public Academy,, Madhya Pradesh  
Delhi School Of Professional Studies & Res, Delhi  , Delhi  
Delhi Teacher Training College,, Delhi  
Demow College,, Assam  
Dental College,, Karnataka  
Deo Chander Mahavidyalaya,, Bihar  
Deo Indrawati Mahavidyalaya,, Uttar Pradesh  
Deo Sundari Memorial College,, Bihar  
Deoband College Of Higher Education,, Uttar Pradesh  
Deogarh College,, Orissa  
Deoghar College,, Jharkhand  
Deogiri College,, Maharashtra  
Deorao Patil Gramin Vikas Pratishthan,, Maharashtra  
Departmant Of Education,, Andhra Pradesh  
Department Forensic Science, Chennai  , Tamil Nadu  
Department Of Advance Studies & Research, Nagpur  , Maharashtra  
Department Of Business Administraiton, Bhavnagar  , Gujarat  
Department Of Business Administration, Rewa  , Madhya Pradesh  
Department Of Business And Industrial Management, Surat  , Gujarat  
Department Of Business Management, Nagpur  , Maharashtra  
"Department Of Business Management, Kolkata", Calcutta  , West Bengal  
Department Of C S Punjabi University,, Punjab  
Department Of Continuing Education & Ext Prog,, Madhya Pradesh  
Department Of Correspondence Studies,, Chandigarh  
Department Of Education,, Assam  
Department Of Education,, Gujarat  
Department Of Education,, Maharashtra  
Department Of Education,, Tamil Nadu  
Department Of Education & Training,, Andhra Pradesh  
Department Of Education Calicut University,, Kerala  
Department Of Education Dibrugarh University,, Assam  
Department Of Education H N B Garhwal University,, Uttaranchal  
Department Of Education Patna University,, Bihar  
Department Of Education University Of Calcutta,, West Bengal  
Department Of Education University Of Mumbai,, Maharashtra  
Department Of Educational Technology,, Tamil Nadu  
"Department Of Instrumentation Technology, Kurukshetra University",, Haryana  
Department Of Management & Technology Engineering College,, Rajasthan  
Department Of Management Studies, Nadiad  , Gujarat  
Department Of Management Studies, Jalgaon  , Maharashtra  
"Department Of Management Studies, Anna University", Chennai  , Tamil Nadu  
"Department Of Management Studies, Dhanbad", Dhanbad  , Jharkhand  
"Department Of Management Studies, Iit Delhi", Delhi  , Delhi  
Department Of Physcial Education,, Chhattisgarh  
Department Of Physical Education,, Chandigarh  
Department Of Physical Education,, Gujarat  
Department Of Physical Education,, West Bengal  
Department Of Polymer Science Rubber Technology Cochin University,, Kerala  
Department Of Special Education,, Maharashtra  
Department Of Teacher Education,, Haryana  
Dept Of Chemical Tech North University,, Maharashtra  
Dept Of Human Development Sndt University(Women'S),, Maharashtra  
Dept Of Pg Studies & Research In Education,, Karnataka  
Dept. Of Chemical Tech,, Maharashtra  
Deptt Of Education Arunachal University,, Arunachal Pradesh  
Deptt Of Education Bangalore University,, Karnataka  
Deptt Of Education Gulbarga University,, Karnataka  
Deptt Of Education Karnataka University,, Karnataka  
Deptt Of Education Rabindra Bharati University,, West Bengal  
Deptt Of Education University Of Kalyani,, West Bengal  
Deptt Of Physical Education Gujarat Vidyapeeth,, Gujarat  
Deptt Of Studies In Education Mysore University,, Karnataka  
Dera Natung Govt College, Itanagar  , Arunachal Pradesh  
Derabis College,, Orissa  
Dergaon Kamal Dowerah College,, Assam  
Derozio Memorial College,, West Bengal  
Desai Chandulal Manilal Arts And Commerce College,, Gujarat  
Desh Bagat College,, Punjab  
Desh Bhagat College Of Education,, Punjab  
Desh Bhagat Engineering College,, Punjab  
Desh Bhagat Institute Of Education,, Punjab  
Desh Bhagat Pandit Chetandev Govt College Of Edu,, Punjab  
Desh Deepak Adarsh Mahavidyalaya,, Uttar Pradesh  
Deshbandhu College, Delhi  , Delhi  
Deshbandhu College (Evening), Delhi  , Delhi  
Deshbandhu College For Girls,, West Bengal  
Deshbandhu Mahavidyalaya,, West Bengal  
Deshbhakta Ratnappa College Of Commerce, Kolhapur  , Maharashtra  
Deshbhakta Ratnappa Kumbhar College Of Commerce,, Maharashtra  
Deshrstan Dr. Rajendra Prasad Law College, Hazaribag  , Jharkhand  
Dess Bangurnagar Arts Science And Commerce College,, Karnataka  
Dev B Ed Girls College,, Rajasthan  
Dev Bhoomi Institute Of Technology, Dehradun  , Uttaranchal  
Dev Bhoomi Institute Of Technology For Women, Dehradun  , Uttaranchal  
Dev Education College,, Uttar Pradesh  
Dev Kanya Shikshak Prashikshan Mahavidyalaya,, Rajasthan  
Dev Samaj College For Girls,, Haryana  
Dev Samaj College Of Education For Women,, Chandigarh  
Dev Samaj College Of Education For Women,, Punjab  
Dev Shikshak Prashikshan Mahavidyalaya,, Rajasthan  
Dev Teacher Training College,, Rajasthan  
Deva Matha College, Kottayam  , Kerala  
Deva Nagri College,, Uttar Pradesh  
Devaki Amma Memorial Teacher Education College,, Kerala  
Devamatha Arts And Science College, Kannur  , Kerala  
Devan Teacher Training Institute,, Tamil Nadu  
Devanga Arts College, Virudunagar  , Tamil Nadu  
Devarajan Teacher Training Institute,, Tamil Nadu  
Devarasetty Adilakchuma Women'S College, Proddatur  , Andhra Pradesh  
Devasagayam Annathaiyammal Arts & Science Women College, Madurai  , Tamil Nadu  
Devaswon Board College, Kollam  , Kerala  
Devaswon Board Pampa College,, Kerala  
Devathi Venkata Subbaiah College, Prakasam  , Andhra Pradesh  
Devathi Venkata Subbaiah College Of Education,, Andhra Pradesh  
Devbhumi Institute Of Professional Education,, Uttaranchal  
Devchand College,, Maharashtra  
Devendra Degree College,, Uttar Pradesh  
Devendra Nath Janta Mahavidyalaya,, Uttar Pradesh  
Devendranath Jantha Degree College,, Uttar Pradesh  
Devi Ahilya Girls Arts & Commerce Degree College,, Madhya Pradesh  
Devi Ahilya Vishwavidyalaya, Indore  , Madhya Pradesh  
Devi Ahilya Vishwavidyalaya Deptt Of Physical Edu,, Madhya Pradesh  
Devi Dutt Dalmiya Sharirik Shiksha Mahavidyalaya,, Rajasthan  
Devi Singh Kesarbai College,, Madhya Pradesh  
Devi Venkatachalam College Of Education,, Tamil Nadu  
Devi Venkatachalam Teacher Training Institute,, Tamil Nadu  
Devi Vilasom Teacher Training Institute,, Kerala  
Devineni Venkata Ramana & Dr. Hima Sekhar Mic College Of Technology, Krishna  , Andhra Pradesh  
Devki Devi Jain Memorial College For Women,, Punjab  
Devraj Roy College,, Assam  
Devsangha Institute Of Professional Studies And E,, Jharkhand  
Devta Mahavidyalaya,, Uttar Pradesh  
Dewajibhau Budhe Memorial College Of Phy Edn,, Maharashtra  
Dewan Abdul Gani College,, West Bengal  
Dewan Institute Of Management Studies,, Uttar Pradesh  
Dewan Law College, Partapur  , Uttar Pradesh  
Dewan V.S. Institute Of Engineering & Technology, Meerut  , Uttar Pradesh  
Dewanshu Samaj Kalyan Sewa Mahavidyalaya,, Uttar Pradesh  
Dhaanish Ahmed Engineering College, Chennai  , Tamil Nadu  
Dhadhi Mathi Mahila S P Mahavidyalaya,, Rajasthan  
Dhakhakha College,, Assam  
Dhamanagar College,, Orissa  
Dhampur Degree College,, Uttar Pradesh  
Dhanabagiyam Krishnaswamy Mudaliar College For Women, Vellore  , Tamil Nadu  
Dhanaji Nana Mahavidyalaya,, Maharashtra  
Dhanalakshmi College Of Engineering, Kanchipuram  , Tamil Nadu  
Dhanalakshmi Srinivasan College Of Arts & Science For Women, Perambalur  , Tamil Nadu  
Dhanalakshmi Srinivasan College Of Edn For Women,, Tamil Nadu  
Dhanalakshmi Srinivasan College Of Education,, Tamil Nadu  
Dhanalakshmi Srinivasan College Of Engineering And Technology, Chennai  , Tamil Nadu  
Dhanalakshmi Srinivasan College Of Physical Edu,, Tamil Nadu  
Dhanalakshmi Srinivasan Engineering College, Pudukotai  , Tamil Nadu  
Dhanalakshmi Srinivasan Engineering College In Perambalur, Perambalur  , Tamil Nadu  
Dhanalakshmi Srinivasan Polytechnic College, Chennai  , Tamil Nadu  
Dhanalakshmi Teacher Training Institute,, Tamil Nadu  
Dhananjayrao Gadgil College Of Commerce,, Maharashtra  
Dhanbad Law College, Dhanbad  , Jharkhand  
Dhaneswar Rath Institute Of Engineering & Management Studies, Tangi  , Orissa  
Dhanish College Of Engineering, Chennai  , Tamil Nadu  
Dhanpatti Dharma Mahavidyalaya,, Uttar Pradesh  
Dhanraj Bain Jain College, Chennai  , Tamil Nadu  
Dhansura Peoples Co Operative Bank Ltd Mahila Arts Commerce College,, Gujarat  
Dhanvantri College Of Education,, Karnataka  
Dhanwantri Shikshan Va Samajik Pratishthan Vikas,, Maharashtra  
Dhanwate National College,, Maharashtra  
Dharam Jyoti Degree College,, Uttar Pradesh  
Dharam Samaj Mahavidyalaya,, Uttar Pradesh  
Dharamamurthi Rao Bahadur Calavala Cunnan Chettys Hindu College, Chennai  , Tamil Nadu  
Dharamjeevi Institute Professional Education,, Haryana  
Dharampeth Madhya Pradesh. Deo Memorial Science Co,, Maharashtra  
Dharamsamaj Sanskrit College,, Uttar Pradesh  
Dharanidhar College,, Orissa  
Dhareshwar Vidya Va Krida Pratisthan,, Maharashtra  
Dhareshwarvidya Va Krida Prastishthan,, Maharashtra  
Dharma Appa Rao College, Krishna  , Andhra Pradesh  
Dharma Ayurveda Medical Research Institution, Kanchipuram  , Tamil Nadu  
Dharma Samaj P.G. College,, Uttar Pradesh  
Dharmada Govt Ptti Dharmada,, West Bengal  
Dharmambal Ramasamy Arts And Science College, Thanjavur  , Tamil Nadu  
Dharmana Ramalingam Naidu College, Tirupati  , Andhra Pradesh  
Dharmanagar Government College,, Tripura  
Dharmapuram Adinam Arts College, Mayiladuthurai  , Tamil Nadu  
Dharmarathnakara Dr. Mahalingam Institute Of Paramedical Sciences And Research, Erode  , Tamil Nadu  
Dharmasala Mahavidyalaya,, Orissa  
Dharmasinh Desai Institute Commerce,, Gujarat  
Dharmavant College Science Commerce, Hyderabad  , Andhra Pradesh  
Dharmendrasinhji Arts College,, Gujarat  
Dharmjeet Singh Mahavidyalaya,, Uttar Pradesh  
Dharmsingh Desai Institute Of Technology,, Gujarat  
Dharmsinh Desai University, Nadiad  , Gujarat  
Dhemaji College,, Assam  
Dhenkanal College,, Orissa  
Dhenkanal Law College, Dhenkanal  , Orissa  
Dhenkanal Mahila Mahavidyalaya,, Orissa  
Dhing College, Nagaon  , Assam  
Dhirendra Mahila Mahavidyalaya,, Uttar Pradesh  
Dhoraji Sanchalit P T C College,, Gujarat  
Dhoraji Sandhalit B Ed College,, Gujarat  
Dhote Bandhu Science College,, Maharashtra  
Dhruba Chandra Halder College,, West Bengal  
Dhruvarutvij College Of Education,, Gujarat  
Dhubri Girls' College, Dhuburi  , Assam  
Dhubri Law College, Dhuburi  , Assam  
Dhubri Post Graduate Teacher Training College,, Assam  
Dhule Education Society'S College Of Education,, Maharashtra  
Dhyanopsak College Of Physcial Education,, Maharashtra  
Diana College Of Education,, Karnataka  
Diana D Ed College (T T I),, Karnataka  
Dibru College,, Assam  
Dibrugargh Law College, Dibrugarh  , Assam  
Dibrugarh H S Kanoi Commerce College,, Assam  
Dibrugarh University, Dibrugarh  , Assam  
Diet,, Manipur  
Diet Chaltlang,, Mizoram  
Diet Cherrapunjee,, Meghalaya  
Diet Lunglei,, Mizoram  
Diet Thadlaskein,, Meghalaya  
Digambar Jain Adarsh Mahila Sanskrit Pg,, Rajasthan  
Digambarrao Bindu Arts & Commerce College,, Maharashtra  
Digamber Degree College,, Uttar Pradesh  
Digamber Jain Balika Vidyapeeth,, Uttar Pradesh  
Digamber Jain P G College,, Uttar Pradesh  
Diganth Teacher Training Institute,, Karnataka  
Digboi B Ed College,, Assam  
Digboi College,, Assam  
Digboi Mahila Mahavidyalaya,, Assam  
Digijai Nath Pg College,, Uttar Pradesh  
Digvijay Nath L T Training College,, Uttar Pradesh  
Digvijay Nath P G College,, Uttar Pradesh  
Dilip College Of Physical Education,, Maharashtra  
Dilipravji Sopal Shikshan Prasarak And Krida Manda,, Maharashtra  
Dimapur College,, Nagaland  
Dimoria College, Kamrup  , Assam  
Dina Krishna College,, Orissa  
Dinabandhu Andrews College,, West Bengal  
Dinabandhu Institute,, West Bengal  
Dinabandhu Mahavidyalaya,, West Bengal  
Dinabandhu Sahu Law College, Kendrapara  , Orissa  
Dinahata College,, West Bengal  
Dinakar Rao K Shinde College Of Education,, Maharashtra  
Dinkarrao Ram Chandra Mane Mahavidyalaya,, Maharashtra  
Dinshan Daboo Law College, Navsari  , Gujarat  
Diphu Government College,, Assam  
Diphu Law College, Diphu  , Assam  
Directorate Of Distance Education,, Andhra Pradesh  
Directorate Of Distance Education,, Bihar  
Directorate Of Distance Education,, Tripura  
Disha College Of Education,, Haryana  
Disha College Of Information Technology,, Chhattisgarh  
Disha Institute Of Management And Technology, Chandigarh  , Chandigarh  
Disha Institute Of Managemnet & Technology Satya Vihar, Raipur  , Chhattisgarh  
Disha Institute Of Science & Technology,, Uttar Pradesh  
Dispur College, Kamrup  , Assam  
Distance Education Unit Directorate Of Te&Scert,, Orissa  
District Institue Of Education And Training,, Kerala  
District Institute Of Education & Tchrs Training,, Karnataka  
